timestamp,last_move,position,temp
2021-07-26 09:54:58.234699,,180,32.98
2021-07-26 09:55:08.464433,,180,32.74
2021-07-26 09:55:18.673793,,180,32.72
2021-07-26 09:55:28.883153,,180,32.55
2021-07-26 09:55:39.102517,,180,32.52
2021-07-26 09:55:49.311871,,180,32.27
2021-07-26 09:55:59.521672,,180,32.22
2021-07-26 09:56:09.741067,,180,32.06
2021-07-26 09:56:19.950428,,180,31.83
2021-07-26 09:56:30.169787,,180,31.86
2021-07-26 09:56:40.379669,,180,31.63
2021-07-26 09:56:50.589544,,180,31.64
2021-07-26 09:57:00.809327,,180,31.45
2021-07-26 09:57:11.049074,,180,31.38
2021-07-26 09:57:21.228477,,180,31.22
2021-07-26 09:57:31.447834,,180,31.08
2021-07-26 09:57:41.657614,,180,31.08
2021-07-26 09:57:51.876976,,180,30.92
2021-07-26 09:58:02.086816,,180,30.86
2021-07-26 09:58:12.296175,,180,30.68
2021-07-26 09:58:22.515534,,180,30.62
2021-07-26 09:58:32.724935,,180,30.51
2021-07-26 09:58:42.944288,,180,30.41
2021-07-26 09:58:53.153946,,180,30.41
2021-07-26 09:59:03.373562,,180,30.22
2021-07-26 09:59:13.574105,,180,30.14
2021-07-26 09:59:23.684126,,180,30.06
2021-07-26 09:59:33.813494,,180,29.98
2021-07-26 09:59:44.022855,,180,29.98
2021-07-26 09:59:54.233646,,180,29.81
2021-07-26 10:00:04.443524,,180,29.8
2021-07-26 10:00:14.662885,,180,29.73
2021-07-26 10:00:24.872242,,180,29.68
2021-07-26 10:00:35.092225,,180,29.61
2021-07-26 10:00:45.301884,,180,29.5
2021-07-26 10:00:55.511243,,180,29.44
2021-07-26 10:01:05.721443,,180,29.26
2021-07-26 10:01:15.840798,,180,29.23
2021-07-26 10:01:26.060156,,180,29.25
2021-07-26 10:01:36.269556,,180,29.08
2021-07-26 10:01:46.478916,,180,29.05
2021-07-26 10:01:56.689754,,180,28.91
2021-07-26 10:02:06.809120,,180,28.92
2021-07-26 10:02:17.018478,,180,28.77
2021-07-26 10:02:27.237837,,180,28.79
2021-07-26 10:02:37.447239,,180,28.63
2021-07-26 10:02:47.666598,,180,28.65
2021-07-26 10:02:57.875957,,180,28.58
2021-07-26 10:03:08.085317,,180,28.52
2021-07-26 10:03:18.304672,,180,28.52
2021-07-26 10:03:28.514035,,180,28.5
2021-07-26 10:03:38.734149,,180,28.31
2021-07-26 10:03:48.943577,,180,28.32
2021-07-26 10:03:59.163465,,180,28.27
2021-07-26 10:04:09.373073,,180,28.25
2021-07-26 10:04:19.582427,,180,28.25
2021-07-26 10:04:29.801791,,180,28.11
2021-07-26 10:04:40.011150,,180,28.05
2021-07-26 10:04:50.220511,,180,28.08
2021-07-26 10:05:00.439913,,180,28.05
2021-07-26 10:05:10.649272,,180,28.0
2021-07-26 10:05:20.868630,,180,27.85
2021-07-26 10:05:31.078504,,180,27.89
2021-07-26 10:05:41.297868,,180,27.83
2021-07-26 10:05:51.507226,,180,27.84
2021-07-26 10:06:01.716931,,180,27.7
2021-07-26 10:06:11.936290,,180,27.68
2021-07-26 10:06:22.145689,,180,27.7
2021-07-26 10:06:32.355048,,180,27.52
2021-07-26 10:06:42.574407,,180,27.58
2021-07-26 10:06:52.784722,,180,27.63
2021-07-26 10:07:03.004712,,180,27.49
2021-07-26 10:07:13.214072,,180,27.43
2021-07-26 10:07:23.423825,,180,27.39
2021-07-26 10:07:33.643184,,180,27.34
2021-07-26 10:07:43.853749,,180,27.28
2021-07-26 10:07:54.054996,,180,27.27
2021-07-26 10:08:04.184361,,180,27.28
