timestamp,last_move,position,temp
2021-05-19 16:44:26.131845,,165,24.31
2021-05-19 16:44:36.350889,,165,24.25
2021-05-19 16:44:46.563190,,165,24.35
2021-05-19 16:44:56.779504,,165,24.3
2021-05-19 16:45:06.987580,,165,24.33
2021-05-19 16:45:17.203473,,165,24.27
2021-05-19 16:45:27.423527,,165,24.31
2021-05-19 16:45:37.638829,,165,24.34
2021-05-19 16:45:47.847959,,165,24.4
2021-05-19 16:45:58.054897,,165,24.42
2021-05-19 16:46:08.264949,,165,24.3
2021-05-19 16:46:18.382948,,165,24.4
2021-05-19 16:46:28.596293,,165,24.36
2021-05-19 16:46:38.810451,,165,24.36
2021-05-19 16:46:49.029944,,165,24.38
2021-05-19 16:46:59.236623,,165,24.45
2021-05-19 16:47:09.455491,,165,24.36
2021-05-19 16:47:19.660655,,165,24.36
2021-05-19 16:47:29.880912,,165,24.38
2021-05-19 16:47:40.092095,,165,24.44
2021-05-19 16:47:50.305921,,165,24.41
2021-05-19 16:48:00.513740,,165,24.38
2021-05-19 16:48:10.740376,,165,24.44
2021-05-19 16:48:20.948461,,165,24.44
2021-05-19 16:48:31.163980,,165,24.44
2021-05-19 16:48:41.367131,,165,24.38
2021-05-19 16:48:51.480725,,165,24.38
2021-05-19 16:49:01.591399,,165,24.38
2021-05-19 16:49:11.702593,,165,24.38
2021-05-19 16:49:21.827112,,165,24.45
2021-05-19 16:49:32.043174,,165,24.47
2021-05-19 16:49:42.260513,,165,24.38
2021-05-19 16:49:52.463439,,165,24.38
2021-05-19 16:50:02.685885,,165,24.42
2021-05-19 16:50:12.890368,,165,24.45
2021-05-19 16:50:23.110456,,165,24.36
2021-05-19 16:50:33.326342,,165,24.33
2021-05-19 16:50:43.540627,,165,24.42
2021-05-19 16:50:53.752499,,165,24.49
2021-05-19 16:51:03.968821,,165,24.36
2021-05-19 16:51:14.170650,,165,24.42
2021-05-19 16:51:24.397867,,165,24.49
2021-05-19 16:51:34.610019,,165,24.45
2021-05-19 16:51:44.819178,,165,24.42
2021-05-19 16:51:55.024846,,165,24.45
2021-05-19 16:52:05.237344,,165,24.45
2021-05-19 16:52:15.454473,,165,24.46
2021-05-19 16:52:25.678035,,165,24.38
2021-05-19 16:52:35.884096,,165,24.51
2021-05-19 16:52:46.097514,,165,24.49
2021-05-19 16:52:56.313497,,165,24.46
2021-05-19 16:53:06.521917,,165,24.51
2021-05-19 16:53:16.743555,,165,24.55
2021-05-19 16:53:26.953124,,165,24.46
2021-05-19 16:53:37.160794,,165,24.46
2021-05-19 16:53:47.382326,,165,24.4
2021-05-19 16:53:57.592660,,165,24.46
2021-05-19 16:54:07.813487,,165,24.45
2021-05-19 16:54:18.016559,,165,24.51
2021-05-19 16:54:28.230650,,165,24.38
2021-05-19 16:54:38.451555,,165,24.48
2021-05-19 16:54:48.653893,,165,24.4
2021-05-19 16:54:58.872139,,165,24.35
2021-05-19 16:55:09.084629,,165,24.48
2021-05-19 16:55:19.295074,,165,24.44
2021-05-19 16:55:29.512907,,165,24.48
2021-05-19 16:55:39.734324,,165,24.38
2021-05-19 16:55:49.939117,,165,24.41
2021-05-19 16:56:00.155940,,165,24.44
2021-05-19 16:56:10.371514,,165,24.48
2021-05-19 16:56:20.586493,,165,24.53
2021-05-19 16:56:30.797779,,165,24.45
2021-05-19 16:56:41.003719,,165,24.27
2021-05-19 16:56:51.222950,,165,24.4
2021-05-19 16:57:01.433004,,165,24.47
2021-05-19 16:57:11.643915,,165,24.49
2021-05-19 16:57:21.864205,,165,24.46
2021-05-19 16:57:32.073315,,165,24.47
2021-05-19 16:57:42.288413,,165,24.52
2021-05-19 16:57:52.494429,,165,24.47
2021-05-19 16:58:02.619300,,165,24.4
2021-05-19 16:58:12.835668,,165,24.41
2021-05-19 16:58:23.044497,,165,24.48
2021-05-19 16:58:33.252823,,165,24.42
2021-05-19 16:58:43.465553,,165,24.46
2021-05-19 16:58:53.681843,,165,24.38
2021-05-19 16:59:03.904696,,165,24.45
2021-05-19 16:59:14.116035,,165,24.41
2021-05-19 16:59:24.321117,,165,24.45
2021-05-19 16:59:34.532431,,165,24.45
2021-05-19 16:59:44.747566,,165,24.4
2021-05-19 16:59:54.963110,,165,24.41
2021-05-19 17:00:05.173635,,165,24.34
2021-05-19 17:00:15.390489,,165,24.38
2021-05-19 17:00:25.596606,,165,24.44
2021-05-19 17:00:35.821759,,165,24.53
2021-05-19 17:00:46.033837,,165,24.38
2021-05-19 17:00:56.237297,,165,24.41
2021-05-19 17:01:06.464036,,165,24.29
2021-05-19 17:01:16.676320,,165,24.38
2021-05-19 17:01:26.883204,,165,24.47
2021-05-19 17:01:37.101216,,165,24.41
2021-05-19 17:01:47.315038,,165,24.35
2021-05-19 17:01:57.523472,,165,24.47
2021-05-19 17:02:07.734770,,165,24.38
2021-05-19 17:02:17.953644,,165,24.42
2021-05-19 17:02:28.166951,,165,24.38
2021-05-19 17:02:38.374069,,165,24.44
2021-05-19 17:02:48.584319,,165,24.34
2021-05-19 17:02:58.708216,,165,24.36
2021-05-19 17:03:08.917405,,165,24.42
2021-05-19 17:03:19.131708,,165,24.34
2021-05-19 17:03:29.344294,,165,24.35
2021-05-19 17:03:39.565579,,165,24.38
2021-05-19 17:03:49.780706,,165,24.41
2021-05-19 17:03:59.989734,,165,24.34
2021-05-19 17:04:10.219881,,165,24.4
2021-05-19 17:04:20.414746,,165,24.38
2021-05-19 17:04:30.626044,,165,24.41
