
(base) PS C:\Users\iab5dy\Probe-Station-Control\Hotplate_Control_Robot\python_interface> python.exe .\Hotplate_Robot_Temp_Calibration.py
Building Temperature Calibration...
Opening port to robot...
Building dataframe...
Setting logfile location...
Logging to: 2021.05.19_Hotplate_Temp_Calibration_Log.csv
Starting Hotplate Robot Temp Calibration.
Current Position:       165
Logging to file:        2021.05.19_Hotplate_Temp_Calibration_Log.csv

{'timestamp': datetime.datetime(2021, 5, 19, 16, 52, 25, 678035), 'last_move': None, 'position': 165, 'temp': 24.38}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 52, 35, 884096), 'last_move': None, 'position': 165, 'temp': 24.51}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 52, 46, 97514), 'last_move': None, 'position': 165, 'temp': 24.49}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 52, 56, 313497), 'last_move': None, 'position': 165, 'temp': 24.46}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 53, 6, 521917), 'last_move': None, 'position': 165, 'temp': 24.51}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 53, 16, 743555), 'last_move': None, 'position': 165, 'temp': 24.55}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 53, 26, 953124), 'last_move': None, 'position': 165, 'temp': 24.46}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 53, 37, 160794), 'last_move': None, 'position': 165, 'temp': 24.46}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 53, 47, 382326), 'last_move': None, 'position': 165, 'temp': 24.4}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 53, 57, 592660), 'last_move': None, 'position': 165, 'temp': 24.46}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 54, 7, 813487), 'last_move': None, 'position': 165, 'temp': 24.45}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 54, 18, 16559), 'last_move': None, 'position': 165, 'temp': 24.51}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 54, 28, 230650), 'last_move': None, 'position': 165, 'temp': 24.38}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 54, 38, 451555), 'last_move': None, 'position': 165, 'temp': 24.48}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 54, 48, 653893), 'last_move': None, 'position': 165, 'temp': 24.4}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 54, 58, 872139), 'last_move': None, 'position': 165, 'temp': 24.35}
